סמל מוסד,שם מוסד,יישוב
647834,ישיבת קדושת ציון ד'ב,בת ים
647966,מוסדות יצחק ירנן,אשקלון
647974,חפץ חיים,שדרות
648030,תיכון סלמאן אלהוזייל,רהט
648048,מקיף רהט,רהט
648055,מקיף אלחכמה,לקיה
648063,מקיף שגב,שגב-שלום
648071,מקיף ערערה בנגב,ערערה-בנגב
648089,טומשין אלביאן תלשבע,תל שבע
648097,רב תחומי לקיה,לקיה
648113,מקיף א'לנור,רהט
648121,"מקיף ע""ש יצחק רבין",חורה
648139,אורט כסייפה אלפארוק,כסיפה
648147,מקיף אלנור ערערה,ערערה-בנגב
648154,מקיף אלחיאת,חורה
648170,"מח""ט עמל רעות",באר שבע
648204,אלנג'אח,רהט
648220,תיכון אורט אבוקרינט,אבו קרינאת (יישוב)
648238,דאר אלקלם,רהט
648261,"אקרא ע""ש עאמר צאנע",לקיה
648279,תיכון אורט אלהואשלה,קצר א-סר
648287,אורט ביר הדאג' נווה מדבר,ביר הדאג'
648295,מקיף אלע'ד טומשין,מכחול
648303,מקיף אלסאלם,שגב-שלום
648311,מקיף חדש אום בטין,אום בטין
648329,מקיף אלתקוא,רהט
648337,אמקיף אלסאלם,חורה
648345,תיכון אורט מולדה,סעווה
648386,תיכון ראשית,ירושלים
648394,קינג סולמון- על יסוד,רמת השרון
648410,מוסדות בית נחמיה,בני ברק
648444,סמינר אקשטיין,בני ברק
648469,נצח ישראל,תל אביב - יפו
648519,"עץ חיים דבאבוב בארה""",בני ברק
648816,תיכון נתיבות משה,חיפה
649103,ישיבת זכרון מיכאל,זכרון יעקב
650028,אלקימה,ירושלים
650127,"בי""ס מח""ט עראבה",עראבה
650515,אולפנת רננה,ירושלים
650523,אולפנת בית אל,בית אל
653600,ישיבת פלח הרימון,שילה
653659,אורט - אור יקרות,אלעד
654020,ישיבת דרכי יוסף,ירושלים
654210,מכללת אור העתיד גן י,גן יבנה
655183,בנות רחל,חריש
655233,שירת ציון,תל ציון
655449,תכלת מרדכי נדבורנה,בני ברק
655563,בית אהרן,ירושלים
656017,סמינר כלל חסידי צפת,צפת
656132,ישיבה תיכונית,מיתר
656165,אולפנא טל תחיה,פסגות
656207,היכל התלמוד,קרית גת
656363,אור שרה,ירושלים
657379,ישיבת בעלזא ביתר עילית,ביתר עילית
658344,אורחות בית יעקב ירוש,ירושלים
658443,"תומכי תמימים ראשל""צ",ראשון לציון
658849,שפתי חיים,ירושלים
658898,ישיבה תיכונית צביה,משואה
658989,תיכון שחקים,ראש העין
659235,"תיכון ע""ש בגין",רמת גן
659284,מכללת WAN-TECH בארי,בית ברל
659334,"מח""ט אמית צפת",צפת
659441,מקיף וואלדרוף,שפרעם
659631,בית חנה,חדרה
659649,בית ספר טכנולוגי ד'ד,ג'דיידה-מכר
659680,שדה צופים,שומרה
659888,הר עציון לצעירים,אלון שבות
660043,מעיין חיים ושלום,אשקלון
660050,משכן התלמוד,אופקים
660076,מקיף צפית,כפר מנחם
660084,תיכון שקמה דרכא,יד מרדכי
660092,אורט אדיבי אשקלון,אשקלון
660126,מקיף שער הנגב,ניר עם
660134,מקיף באר טוביה,באר טוביה
660175,תכון ברנקו וייס-אילת,אילת
660209,תיכון חזון בית יעקב,אלומה
660217,ישיבת תורת ישראל,אופקים
660225,תיכון תראבין,תראבין א-צאנע(ישוב)
660233,תיכון אורט אבו תלול נווה מדבר,אבו תלול
660266,קמפוס חוף אשקלון דרכא,באר גנים
660274,מבואות הנגב,שובל
660282,סמינר בית יעקב החדש,נתיבות
660308,ישיבת באר שבע,באר שבע
660324,נופי הבשור,מגן
660332,שערי רחמים,ירושלים
660498,בית ספר על יסודי שיטים דרכא,ספיר
660613,דרכיה,ביתר עילית
661637,ענבר,ירושלים
661660,סמינר וסרמן,בני ברק
661827,מאור ירושלים,ביתר עילית
661835,ישיבת תפארת אברהם טש,ירושלים
661850,תיכון יעלת חן,ירושלים
661884,"ב""ס טכנולוגי ב.חנינה",ירושלים
662296,אום טובא תיכון בנים,ירושלים
662452,אמחד סאמח תיכון בנים,ירושלים
662494,אלתורי תיכון בנות,ירושלים
662502,אלסופראא תיכון מעורב,ירושלים
662510,אלוואדי תיכון מעורב,ירושלים
662635,"ביה""ס לעתודה טכנולוגית ספיר",תעשית שער הנגב
662650,ישיבת באר מים חיים צפת,צפת
662726,ישיבת בית חדש-שערי י,בית חלקיה
662783,תורת שלמה,רחובות
662866,תפארת לוי גני איילון,לוד
662940,תיכון באר מרים,נתיבות
662973,אורות עולם,בית שמש
663013,רוממות התורה,בני ברק
663070,אהבת ציון,ירושלים
663088,היכל אברהם,ירושלים
663096,חיי אברהם פונוביז,בני ברק
663112,פונוביז' גרודנא באר,באר יעקב
663336,תיכון אורים,רמת השרון
665372,מרום שש שנתי עמק חפר,בית ינאי
665562,הכתר,ירושלים
665588,"מח""ט כסיפה",כסיפה
667097,תיכון כה תאמר,קרית גת
667394,ארבעת המינים,עין החורש
668434,תיכון אודם דרכא,קצרין
668962,אלביאן מקיף,ירושלים
669259,ברנקו וייס מרכז תמר,חורה
669309,סמינר חסידי חדש,בני ברק
670042,עמל רמות באר שבע,באר שבע
670067,אורט אפרידר אשקלון,אשקלון
670182,מעלות דבורה,ביתר עילית
670208,אולפנת תהילת ישראל,אילת
670232,מקיף דתי,שדרות
670240,סמינר ביתר עילית שירת דבורה,ביתר עילית
670323,מרכז חנוך משיבי חיים,אשדוד
670331,אורט ימי אשדוד,אשדוד
670414,מקיף דתי,קרית מלאכי
670422,גימנסיה דרכא,קרית מלאכי
670562,"ביה""ס למלאכה חב""ד",קרית מלאכי
670810,טכני חיל האויר,באר שבע
670828,כפר הנוער קדמה,קדמה
670836,מכ' עמל להנדסה באר שבע,באר שבע
670851,בנות צפורה,ירושלים
671297,שירת מרים,אופקים
671347,ארחות יושר,ירושלים
672220,בנות ליובאוויטש,בית שמש
672386,התיכון החדש בטבריה,טבריה
672410,עטרת ראובן,ביתר עילית
672568,שערי שמועות,בית חלקיה
672600,טשכנוב ירושלים,ירושלים
672634,ישיבת עטרת שלמה אחיס,לוד
673053,בנות חיה,ירושלים
673244,נחלי אמונה צפת,צפת
673509,לב לדעת,צפת
673541,תיכון בית מלכה חיפה,חיפה
673822,"התיכון הנכו""ן",כפר האורנים
673913,חדוות השם,ירושלים
673939,סמינר הר חומה,ירושלים
674085,אורחות שרה,נתניה
674416,בויאר בינלאומי,ירושלים
674531,ישיבה קטנה -הר חומה,ירושלים
674556,סמינר לבנות תומר דבורה,ירושלים
674747,תיכון אור חדש,בית שמש
674762,"סמינר ""שלהבת""",בית שמש
675116,ישיבת משנה תורה הר נוף,ירושלים
675231,תורת יהודה,ירושלים
675256,שער המלך,ירושלים
675363,ישיבה קטנה נווה,נווה
675934,ישיבת ארחות יעקב,מודיעין עילית
676080,ישיבת טשערנאביל בית שמש,בית שמש
676130,תפארת רוזין,ביתר עילית
676148,ישיבת ברכת אליעזר,בית שמש
676171,ישיבת אחינו פתח תקוה,פתח תקווה
676254,עזרת שמעון,ביתר עילית
676353,מתיבתא דרבי יוחנן,טבריה
676478,אמרי שאול מודז'יץ,בני ברק
676544,צדקת נתן,בני ברק
676569,דרך שלמה,בני ברק
677245,סמינר הליכות בית יעקב,מודיעין עילית
678011,רב תחומי עמל הדקלים תל שבע,תל שבע
680025,אשל הנשיא,אשל הנשיא
680033,מקיף כפר סילבר,כפר סילבר
680066,חקלאי כנות,כנות
680082,אולפנת מרכז שפירא,מרכז שפירא
680108,מקיף דתי עזתה בנות,זמרת
681247,"רב תחומי על מרום-תיכון ממ""ד",אופקים
681288,תיכון לביא,כוכב השחר
681361,תבנית החינוך המוזהב,צביה
681379,ג'סור אלאמל,חורה
681676,ישיבת סנהדרין,אשקלון
685586,תיכון אלסייד,אל סייד
710756,תיכון אורית,סח'נין
711051,"שש שנתי ע""ש יצחק שמיר",פתח תקווה
711556,ישיבת אוצר התורה,ירושלים
711564,דעת ותבונה,ביתר עילית
711770,בית הספר השיטה,רחובות
711903,דרכי חנה,אלעד
712943,נתיבות חכמה,מודיעין עילית
713131,תיכון חדש,כפר מנדא
713594,רגבים בעמק,טירת צבי
713743,אולפנת צביה בקעת הירדן,חמרה
714204,"בי""ס סוואחרה בנים",ירושלים
714824,לווית חן,חולון
714857,תיכון בית יעקב תל אב,תל אביב - יפו
715235,סמינר גברא אלעד,אלעד
715300,ים התורה,ירושלים
715318,ישיבה לצעירים אלעד,אלעד
715623,מקיף אלסלעה,ירושלים
715797,שערי תבונה,אלעד
715920,אולפנת קצרין,קצרין
716423,עתיד עטרת חן,ירושלים
716605,תיכון פרי תואר בית י,אלעד
716779,ישיבת נחלת אהרן קויד,בני ברק
717769,בית יעקב בנות הרמה,בית שמש
718056,אורט ישיבת אגדלך ירושלים,ירושלים
718189,נווה מדבר ניצנה,ניצנה (קהילת חינוך)
718965,מחול,מחולה
718999,"מכללת אורמת ע""ש י. ג",יבנה
719542,תיכון גני תקווה,גני תקווה
719575,כנסת הגדולה מפעלים ח,מודיעין עילית
719591,כפר הנוער איילת השחר,יונתן
719724,"שש שנתי יש""י",חדרה
719799,ישיבת בני אהרן,אלעד
721175,נתיבות דעת,בית שמש
722017,ישיבה קטנה ארחות מרד,כוכב השחר
722025,עמלה של תורה,ביתר עילית
722033,ישיבת חכמה ודעת,ירושלים
722058,הישיבה הגדולה עטרת ש,ראשון לציון
722066,סמינר מורשת ירושלים,ביתר עילית
722074,סמינר לוית חן,בית שמש
722116,בני מלכים ישיבה,אלעד
722124,חכמת דוד,אלעד
722132,תורה בתפארתה,אלעד
722140,עטרת שלמה ביתר,ביתר עילית
722512,סמינר בית מלכה בית ש,בית שמש
723437,בית בנימין,צפת
723684,אהל רחל,בני ברק
724062,חזון דוד,מודיעין עילית
724161,כוכבי המדבר ברנקו וייס,להב
725382,תומכי תמימים - ישיבה,קרית מלאכי
727099,ישיבת תורת ישראל,ירושלים
728691,ישיבת תורת מרדכי,מודיעין עילית
728717,ישיבה דחסידי בעלזא ב,בית שמש
728725,ישיבה לצעירים אשדוד,אשדוד
728733,ישיבת אור אפריים,בית שמש
728741,אור יהושע נתיבות התו,בית שמש
728808,ישיבה לצעירים רכסים,רכסים
728816,מוסדות ביאלא חלקת יה,בני ברק
728857,בית התלמוד שערי תורה,ירושלים
728865,חוקי חיים,ירושלים
728964,ישיבת משכנות התורה בני ברק,בני ברק
729004,אהבת תורה,ביתר עילית
729012,רמות זבולון,אבטין
729020,ישיבת נעימות התורה,ביתר עילית
729038,ישיבת דברי מלך,בית שמש
729053,עתיד פסגות מגדל העמק,מגדל העמק
729079,"עטרת שלמה בארה""ק",בני ברק
729087,ישיבה למצוינים רחובו,רחובות
729095,אבן האזל אלעד,אלעד
729111,ישיבה תיכונית דובר טוב,ירושלים
729210,תום ודעת,ירושלים
729244,יצחק נבון- פארק המדע,נס ציונה
729285,אורט טכנולוגי קרית ג,קרית גת
729293,"אורט מח""ט צור ערד",ערד
729566,ישיבת ברכת השם,בית הגדי
729574,זיו אור נתניה,נתניה
729848,ישיבה לצעירים פתח תק,פתח תקווה
729863,ישיבת אהל אברהם,אלעד
729871,תיכון עיסויה בנים,ירושלים
731174,מכון בית יעקב למורות,מודיעין עילית
732024,אמרי משה,ירושלים
732081,נחלי התורה,ירושלים
732529,דרך עליה,פתח תקווה
732735,תיכון קדם,ערד
733121,"מקיף ע""ש ד""ר חאלד ס",נצרת
733451,דרכה של תורה מודיעין,מודיעין עילית
733584,דמוקרטי בעמק- התיכון,נהלל
733691,דגל ירושלים,נחלים
733725,מכללה איזורית כסרא ס,כסרא-סמיע
733824,ישיבת תורת עולם,בית שמש
733907,ופרצת-מוסדות ליו,בית שמש
733956,בית מנחם מענדל,צפת
734061,מעלות שמחה,חצור הגלילית
734301,מרגליות,אשדוד
734863,כפר הנוער הערבי למצויינות,גבעת חביבה
735845,ישיבת בית רפאל,בני ברק
736256,ישיבה לצעירים תלציון,תל ציון
736975,מתיבתא דרבי יוחנן מע,בני ברק
738575,ישבת תפארת ישראל,מודיעין עילית
739011,בית דוד,בית שמש
739045,רימון,פרדס חנה-כרכור
739052,מרכז לתורה והוראה,פתח תקווה
739078,ישיבת רכסים לצעירים,רכסים
739185,ברכת שמואל,בית שמש
740365,תיכון אלמל,סח'נין
740381,ישיבת משכנות נעורים,יסודות
740688,תיכון נתיבות שלום,ביתר עילית
740753,תיכון חרדי באר יעקב,באר יעקב
740779,אוהל רבקה,ירושלים
740894,מרכז עתיד לוגי טק,באר יעקב
741033,אדם ואדמה- ערבה,חצבה
741173,חנוך לנער,פתח תקווה
741280,משכנותיך ישראך,ירושלים
741348,בית יעקב החדש ביתר ע,ביתר עילית
741496,תורה ודעת,בני ברק
741710,בנות בת שבע,מודיעין עילית
741892,בנות מלכים,ירושלים
742163,אולפנת תפארת,מגדל העמק
742189,תיכון בנות שולמית,רחובות
742544,מכון בית יעקב למורות,אלעד
742759,דרכי הלל,חדרה
744110,נוף הגליל,נוף הגליל
744565,בית הספר הבינלאומי ב,גבעת חביבה
745877,עטרת התלמוד,תל אביב - יפו
745901,בנות מלך,נתניה
745968,ישיבת היכל יצחק,ירושלים
746115,עלמא,חיפה
746404,ישיבת בני עקיבא מכלו,מעלה לבונה
746669,ישיבת צביה כרמי קטיף,כרמי קטיף
746784,תיכון ויזניץ מודיעין,מודיעין עילית
747329,דורשי ציון,ביתר עילית
747337,תפארת משה,ביתר עילית
747444,אוצרות הגדולים,אשדוד
747469,אהלים של תורה,בית שמש
747477,ישיבת כח התורה,אלעד
747493,ישיבת תפארת התורה,בית שמש
747501,עטרת שלמה אלעד,אלעד
747519,ישיבת חסד לאברהם,בני ברק
747535,ישיבת ברסלב ביתר,ביתר עילית
747576,משכנות התלמוד,פתח תקווה
747584,בית יצחק,ירושלים
747618,אהל תורה,ירושלים
748004,תיכון גור קרית גת,קרית גת
748574,רגבים בנימין,מעלה מכמש
748699,שפע חיים צאנז,אלעד
748897,סוגה בשושנים,טבריה
749028,תיכון אהל משה,זמרת
749077,סמינר שושנים,ירושלים
749200,סמינר בית יעקב תפארת,אשדוד
749481,סמינר בינת החינוך,ירושלים
749572,ישיבה לצעירים - בית,צפת
749770,ישיבת ברסלב אור מוהר,יבנאל
749887,נשמת התורה,ירושלים
749895,בנות ציון,בני ברק
754432,ישיבה לצעירים עפולה,עפולה
754804,ישיבת באר יצחק- מודי,מודיעין עילית
755066,"ישיבת בנ""ע בר יוחאי מירון",מירון
755074,אורט מעין חי רחובות,רחובות
755157,בית השם נהלך,בית שמש
755181,תיכון אזורי רמת הנגב,משאבי שדה
755223,תיכון קורצ'אק ',באר שבע
755231,הישיבה לצעירים,אשדוד
755397,אורט משכן משה ביתר עלית,ביתר עילית
755587,בית ספר תיכון אלפורק,ירושלים
755603,כנסת תורת חיים,בית שמש
755868,בנות חנה,ביתר עילית
755900,תומר דבורה,צפת
756049,ישיבת ראדין,נתניה
756205,שובו מיטב ראשלצ,ראשון לציון
756353,נחלת אפרים,נתיבות
756577,מעלות ירושלים,בית שמש
756585,איילת השחר,בית שמש
756619,שובו מיטב נתניה,נתניה
756692,בית ספר תיכון רואא,ירושלים
756775,בית ספר תיכון אלפורק,ירושלים
756833,שערי אשר,תל אביב - יפו
756999,עתיד כרמיאל,כרמיאל
757609,בית ספר תיכון סמירא,ירושלים
757641,מכון בית יעקב למורות,ירושלים
757666,אולפנת עטרת רחל,ירושלים
757831,עמל התורה הקדושה,בני ברק
758052,אהל אברהם,בני ברק
758060,ישיבת בני ראובן,אלעד
758078,שערי תורה אור עקיבא,אור עקיבא
758094,סמינר יצהר,כפר סבא
758102,בנות שרה,אלעד
758110,אור אפרים אלעד,אלעד
758136,המכינה התורנית מגיני,בת ים
758151,ישיבה לצעירים עפולה,עפולה
758169,דרך תבונות,בני ברק
758177,אגודת אוהל זהר התורה,אשדוד
758193,דעת אהרון,ירושלים
758243,טל ישראל,ירושלים
758250,ישיבת נתיבות מרדכי,ירושלים
758342,הישיבה לצעירים בית ש,בית שמש
758417,ישיבת שערי דעה,מודיעין עילית
758466,תורת יעקב,בת ים
759019,עטרת תמר,חיפה
759043,סמינר בנות לאה אסתר,בני ברק
759399,תיכון דמוקרטי,הוד השרון
759688,שבות ישראל,אפרת
759696,תפארת שלמה,רמלה
760116,הדרת משה,ירושלים
761205,נועם תיכון טכנולגי,ביתר עילית
761320,ישיבת משכנותיך ישראל,בית שמש
761353,סמינר בנות מלכה,מודיעין עילית
761379,תורת חיים,אלעד
761395,ישיבת מצפה רחובות,רחובות
761643,אורט אבו קוידר נווה מדבר,אבו ג'ווייעד (שבט)
761734,בנות חייל,רעננה
761767,העמק,מזרע
761858,מבקשי תורה,בית שמש
762401,ישיבת שירת התורה,ירושלים
763524,צעירים חדרה,חדרה
763557,רגבים בגולן נטור,נטור
763573,מכללת עתיד בועיינה נוג'ידאת,בועיינה נוג'ידאת
764290,אולפנת רגבים כפר עציון,כפר עציון
765321,ישיבת אור יצחק,בני ברק
765966,אורט מחט קסאר אסר,קצר א-סר
767285,ישיבת חיי עולם,בית שמש
767301,סמינר החדש עפולה,עפולה
767830,תורת אליהו,מודיעין עילית
767889,ישיבת דרך התורה,ביתר עילית
768697,ישיבת תפרח לצעירים,תפרח
768796,ישיבת תפארת התורה,ירושלים
769620,נפלאות התורה,ירושלים
769745,תיכון חדש,קרית אונו
769919,נתיבות שרה,חדרה
769968,האקדמיה למצוינות בספורט,נתניה
770040,המשותף חוף הכרמל,מעגן מיכאל
770057,עמל אמירים אופקים,אופקים
770065,מקיף אזורי ברנר,גבעת ברנר
770073,מקיף חוף הכרמל,מעגן מיכאל
770222,אולפנת נווה שרה הרצוג,בני ברק
770230,שפרירים,גבעת חיים (איחוד)
770297,עירוני יד',תל אביב - יפו
770305,ישיבת שעלבים,שעלבים
770388,תיכון יצחק שמיר,כפר סבא
770396,מכללה טכנו' חיל-אויר,חיפה
770412,בית יעקב אבות,אשדוד
770453,"תיכון ע""ש קציר",רחובות
770461,"מקיף ג' ע""ש רוגוזין",אשדוד
770495,בית חנה,ירושלים
770503,בית יעקב אהל חיה,נתיבות
770552,"מקיף דתי אמי""ת",באר שבע
770586,"עירוני ע""ש שזר",בת ים
770602,מעלה שחרות,יטבתה
770719,ישיבת חנוך לנער,נתיבות
770727,"אולפנת בנ""ע טל רמות",ירושלים
770750,"אורט ע""ש מיטרני",חולון
770768,"מקיף דרכא ע""ש ספיר",ירוחם
770776,אורט אברט חצור הגלילית,חצור הגלילית
770784,"קרית החינוך אמי""ת",חצור הגלילית
770826,עירוני ו' מקיף,באר שבע
770842,מקיף השרון עש רוטברג,רמת השרון
770859,"קריית חינוך ע""ש שמריהו בירן",עכו
770875,אורט חרמץ גבעת רם ירושלים,ירושלים
770941,תיכון לחינוך סביבתי,שדה בוקר
770990,מקיף אזורי מרחבים,בתי ספר של מרחבים
771030,מוסדות מגדל אור,מגדל העמק
771071,מקיף ג' עמית,ראשון לציון
771089,התיכון הניסויי,ירושלים
771105,מקיף עין גדי,עין גדי
771121,ישיבת תורה והוראה,תל אביב - יפו
771188,ישיבה למצוינים פני מנחם,ירושלים
771287,"מנו""ף",עכו
771626,תיכון שירת הדסה,אשדוד
772053,תפארת תמר,נתיבות
772467,אשירה,ראש העין
772574,ישיבת בנועם התלמוד,בני ברק
772905,תאיר ציון,ירושלים
772913,הישיבה הגדולה יסודות,יסודות
773127,יסודות התורה,תל אביב - יפו
773259,"ישיבת רש""י",ירושלים
773275,זיו אור חריש,חריש
773291,נתיב הדעת,ירושלים
773317,מיר ברכפלד,מודיעין עילית
773358,מכללת אורט קרית ביאליק,קרית ביאליק
774307,שירת ירושלים,ירושלים
774737,אש התלמוד,ביתר עילית
776492,ישיבה לצעירים,מעלות-תרשיחא
779249,ניצן נירים,ניר עם
779843,תיכון בנות מנחם,חולון
780742,ישיבת כתר תורה,קרית יערים
786293,ישיבת דרכי תורה,בני ברק
800003,תיכון חקלאי ימה,זמר
800037,אורט אבו רביעה כסייפה,כסיפה
800052,"תיכון ע""ש ג'מאל טרביה",סח'נין
800060,מקיף אחווה ירכא,ירכא
800078,מקיף עין מאהל,עין מאהל
800086,מקיף כפר קאסם,כפר קאסם
800094,תיכון כפר כנא,כפר כנא
800102,תיכון ערערה למדע וטכ,ערערה
800128,רב תחומי עמל דבוריה,דבוריה
800136,"מקיף ע""ש קאסם גאנם",מגאר
800144,מקיף אלסאפווה תל שבע,תל שבע
804245,עמי אסף,בית ברל
804252,שחפים,מעגן מיכאל
810002,מדרשה אומנויות מדעים דרכא,ניצן
820548,עדני הנגב,שובל
841213,אולפנת אלומה שדות נגב,בית הגדי
841247,אולפנת רגבים אופק,נוב
841254,בית חינוך ירקון,נווה ירק
841262,מקיף הר טוב,צרעה
844043,בנימין רוטמן עמק יפה,ניר יפה
844076,קרית חינוך דרור,בני דרור
860353,תיכון תמר,נטור
860361,דרכא בית ירח א',כנרת (קבוצה)
872531,בית הספר הארצי להנדס,חיפה
961003,"היל""ה מלכישוע-חסות",מלכישוע
961011,"היל""ה רטורנו-חסות",גבעת שמש
